Stream Trained,Job Role,Placement Number,Placement: Resource: Full Name,Operating Location Name,FDM Office,Start Date,End Date,Degree Classification,University of Study,Degree Subject
Testing,Business Analysis,1719,First Name Surname 1719,Moorgate,Manchester,03/11/2011,03/11/2013,2:2,University of Salford,Games Design
Data Analyst,Business Intelligence,1720,First Name Surname 1720,Birmingham New Street,London,05/03/2013,05/03/2015,2:2,Coventry University,Chemistry
Development (Java),Testing,1721,First Name Surname 1721,Moorgate,Manchester,18/05/2013,18/05/2015,3,Glasgow Caledonian University,Politics
Development (Java),Consulting,1722,First Name Surname 1722,Leeds Centre,London,13/12/2012,13/12/2014,2:1,University of Leeds,Robotics
Application Support,PMO,1723,First Name Surname 1723,Birmingham New Street,London,30/11/2012,30/11/2014,1,University of Essex,Computer Science
Testing,Business Intelligence,1724,First Name Surname 1724,Oxford Circus,Manchester,02/10/2012,02/10/2014,2:2,University of Essex,Economics
Development (Java),Cyber Security,1725,First Name Surname 1725,Birmingham New Street,London,03/04/2013,03/04/2015,2:2,University of Glasgow,Geography and Environmental Sciences
PMO,Infrastructure,1726,First Name Surname 1726,Edinburgh,Manchester,04/05/2013,04/05/2015,3,University of Brighton,Accounting and Finance
Infrastructure,Cyber Security,1727,First Name Surname 1727,Newcastle,Manchester,14/05/2013,14/05/2015,2:2,University of Brighton,Politics
PMO,Cyber Security,1728,First Name Surname 1728,Newcastle,London,11/10/2013,11/10/2015,2:2,Open University,Mechanical Engineering
Data Analyst,Testing,1729,First Name Surname 1729,Oxford Circus,Manchester,24/10/2012,24/10/2014,1,University of Nottingham,Politics
Data Analyst,Support,1730,First Name Surname 1730,Moorgate,Manchester,29/12/2013,29/12/2015,2:1,Open University,Geography and Environmental Sciences
Testing,Data Services,1731,First Name Surname 1731,Oxford Circus,Manchester,17/06/2013,17/06/2015,2:1,University of Central Lancashire,Mechanical Engineering
Application Support,Cyber Security,1732,First Name Surname 1732,Oxford Circus,Manchester,24/03/2012,24/03/2014,2:2,University of Central Lancashire,Chemistry
Development (.Net),Testing,1733,First Name Surname 1733,Edinburgh,Manchester,15/10/2013,15/10/2015,2:1,University of Glasgow,Mathematics
Development (Java),Infrastructure,1734,First Name Surname 1734,Edinburgh,Manchester,22/04/2013,22/04/2015,2:2,University of Chester,Politics
PMO,Consulting,1735,First Name Surname 1735,Birmingham New Street,London,12/02/2013,12/02/2015,3,University of Brighton,Mechanical Engineering
Business Analysis,Infrastructure,1736,First Name Surname 1736,Leeds Centre,Manchester,25/11/2013,25/11/2015,2:1,University of Brighton,Mathematics
Development (Java),Business Analysis,1737,First Name Surname 1737,Moorgate,Manchester,19/03/2012,19/03/2014,2:2,University of Manchester,Politics
PMO,Data Services,1738,First Name Surname 1738,Oxford Circus,London,06/05/2012,06/05/2014,2:1,University of Brighton,Accounting and Finance
PMO,PMO,1739,First Name Surname 1739,Oxford Circus,London,11/10/2013,11/10/2015,1,University College London,Robotics
Business Analysis,Data Services,1740,First Name Surname 1740,Moorgate,Manchester,10/09/2012,10/09/2014,2:2,De Montfort University,Mathematics
Development (.Net),Testing,1741,First Name Surname 1741,Moorgate,London,21/11/2013,21/11/2015,2:1,University of Sheffield,Economics
Infrastructure,Infrastructure,1742,First Name Surname 1742,Leeds Centre,Manchester,19/06/2013,19/06/2015,3,University of Brighton,Business and Management Studies
Application Support,Business Analysis,1743,First Name Surname 1743,Leeds Centre,Manchester,18/09/2013,18/09/2015,2:2,University of Leicester,Aeronautical Engineering
Data Analyst,Business Analysis,1744,First Name Surname 1744,Leeds Centre,London,05/12/2013,05/12/2015,3,University of Leicester,Chemical Engineering
PMO,Infrastructure,1745,First Name Surname 1745,Oxford Circus,London,09/09/2012,09/09/2014,2:1,University of York,Business and Management Studies
Development (.Net),Testing,1746,First Name Surname 1746,Oxford Circus,Manchester,28/10/2011,28/10/2013,2:2,University of Abertay,Robotics
Development (Java),Infrastructure,1747,First Name Surname 1747,Birmingham New Street,London,16/08/2012,16/08/2014,2:1,De Montfort University,Electrical and Electronic Engineering
PMO,Testing,1748,First Name Surname 1748,Moorgate,London,06/12/2013,06/12/2015,2:2,De Montfort University,Mechanical Engineering
Infrastructure,Testing,1749,First Name Surname 1749,Moorgate,Manchester,12/12/2013,12/12/2015,1,University of Liverpool,Mathematics
Infrastructure,Cyber Security,1750,First Name Surname 1750,Birmingham New Street,Manchester,09/05/2012,09/05/2014,2:1,Manchester Metropolitan University,Politics
Data Analyst,Testing,1751,First Name Surname 1751,Birmingham New Street,Manchester,18/12/2013,18/12/2015,1,Open University,Physics and Astronomy
Data Analyst,Testing,1752,First Name Surname 1752,Edinburgh,London,25/06/2012,25/06/2014,2:1,University of Nottingham,Computer Science
Data Analyst,Support,1753,First Name Surname 1753,Leeds Centre,London,25/12/2013,25/12/2015,1,Swansea University,Politics
Testing,Cyber Security,1754,First Name Surname 1754,Moorgate,London,08/11/2013,08/11/2015,2:1,University College London,Games Design
Infrastructure,Support,1755,First Name Surname 1755,Moorgate,London,26/12/2013,26/12/2015,2:1,University College London,Aeronautical Engineering
Business Analysis,Data Services,1756,First Name Surname 1756,Moorgate,Manchester,13/03/2013,13/03/2015,2:2,Bangor University,History
Application Support,Support,1757,First Name Surname 1757,Newcastle,London,19/08/2012,19/08/2014,2:2,University of Central Lancashire,Chemistry
PMO,Cyber Security,1758,First Name Surname 1758,Oxford Circus,London,01/09/2012,01/09/2014,2:2,University of Sheffield,Psychology
Data Analyst,Consulting,1759,First Name Surname 1759,Birmingham New Street,Manchester,06/07/2012,06/07/2014,3,University of Leeds,Civil Engineering
Application Support,Support,1760,First Name Surname 1760,Oxford Circus,Manchester,14/09/2013,14/09/2015,2:1,University of Liverpool,Politics
Application Support,Business Intelligence,1761,First Name Surname 1761,Moorgate,Manchester,07/05/2013,07/05/2015,2:1,University of Nottingham,Economics
Application Support,Data Services,1762,First Name Surname 1762,Newcastle,Manchester,10/12/2011,10/12/2013,1,University of Warwick,Politics
PMO,PMO,1763,First Name Surname 1763,Moorgate,Manchester,01/02/2013,01/02/2015,3,Manchester Metropolitan University,Electrical and Electronic Engineering
Development (Java),Support,1764,First Name Surname 1764,Moorgate,London,08/01/2012,08/01/2014,2:1,Glasgow Caledonian University,History
Testing,PMO,1765,First Name Surname 1765,Oxford Circus,Manchester,03/12/2013,03/12/2015,1,University of Reading,Computer Science
Development (.Net),Business Analysis,1766,First Name Surname 1766,Edinburgh,London,18/08/2012,18/08/2014,2:1,University of Salford,Biological Sciences
Development (Java),Infrastructure,1767,First Name Surname 1767,Leeds Centre,London,17/06/2013,17/06/2015,2:1,Manchester Metropolitan University,Geography and Environmental Sciences
Infrastructure,PMO,1768,First Name Surname 1768,Newcastle,London,23/05/2012,23/05/2014,3,University of Portsmouth,Physics and Astronomy
Infrastructure,Business Analysis,1769,First Name Surname 1769,Oxford Circus,London,14/09/2012,14/09/2014,2:1,University of Nottingham,Politics
Application Support,PMO,1770,First Name Surname 1770,Edinburgh,London,06/07/2013,06/07/2015,2:1,Coventry University,Chemistry
Development (Java),Infrastructure,1771,First Name Surname 1771,Leeds Centre,London,18/08/2013,18/08/2015,2:1,University of Essex,Forensic Computing
Data Analyst,Business Intelligence,1772,First Name Surname 1772,Oxford Circus,London,07/12/2013,07/12/2015,1,University of Leicester,Accounting and Finance
Testing,Testing,1773,First Name Surname 1773,Oxford Circus,London,11/01/2013,11/01/2015,2:1,Newcastle University ,Business and Management Studies
Development (.Net),Business Analysis,1774,First Name Surname 1774,Oxford Circus,Manchester,17/11/2012,17/11/2014,2:2,Open University,Politics
Infrastructure,Consulting,1775,First Name Surname 1775,Edinburgh,London,22/06/2013,22/06/2015,2:1,De Montfort University,Mechanical Engineering
PMO,Business Intelligence,1776,First Name Surname 1776,Edinburgh,London,26/01/2013,26/01/2015,2:1,Coventry University,Accounting and Finance
Application Support,Business Analysis,1777,First Name Surname 1777,Newcastle,Manchester,05/10/2012,05/10/2014,2:1,University of Manchester,Mathematics
Application Support,Consulting,1778,First Name Surname 1778,Newcastle,London,28/01/2012,28/01/2014,3,Cardiff University,Physics and Astronomy
Development (Java),PMO,1779,First Name Surname 1779,Moorgate,London,12/09/2012,12/09/2014,2:1,London Metropolitan University,Geography and Environmental Sciences
Development (Java),Cyber Security,1780,First Name Surname 1780,Oxford Circus,Manchester,29/01/2013,29/01/2015,3,University of Warwick,Politics
Infrastructure,Business Analysis,1781,First Name Surname 1781,Newcastle,London,17/09/2013,17/09/2015,2:1,De Montfort University,Forensic Computing
Infrastructure,Consulting,1782,First Name Surname 1782,Leeds Centre,London,18/09/2013,18/09/2015,2:2,University of Abertay,Civil Engineering
PMO,Infrastructure,1783,First Name Surname 1783,Newcastle,Manchester,24/02/2013,24/02/2015,2:2,University of Manchester,Aeronautical Engineering
PMO,Consulting,1784,First Name Surname 1784,Oxford Circus,Manchester,22/10/2013,22/10/2015,2:2,London School of Economics and Politics,Forensic Computing
Testing,Testing,1785,First Name Surname 1785,Newcastle,Manchester,05/11/2013,05/11/2015,2:1,University of Essex,Politics
Application Support,Infrastructure,1786,First Name Surname 1786,Oxford Circus,London,06/03/2013,06/03/2015,3,University of Leeds,Physics and Astronomy
Data Analyst,Business Intelligence,1787,First Name Surname 1787,Oxford Circus,London,11/06/2012,11/06/2014,2:2,Bangor University,Aeronautical Engineering
PMO,Testing,1788,First Name Surname 1788,Oxford Circus,London,12/07/2013,12/07/2015,2:2,London Metropolitan University,Accounting and Finance
PMO,Testing,1789,First Name Surname 1789,Birmingham New Street,Manchester,23/02/2013,23/02/2015,3,University of Salford,English
Development (.Net),Testing,1790,First Name Surname 1790,Leeds Centre,London,19/11/2013,19/11/2015,2:1,London School of Economics and Politics,Electrical and Electronic Engineering
Infrastructure,Business Intelligence,1791,First Name Surname 1791,Birmingham New Street,London,29/09/2012,29/09/2014,1,University College London,Computer Science
Testing,Business Intelligence,1792,First Name Surname 1792,Birmingham New Street,Manchester,27/08/2013,27/08/2015,1,University of Brighton,English
Application Support,Data Services,1793,First Name Surname 1793,Birmingham New Street,Manchester,15/12/2012,15/12/2014,1,University of Central Lancashire,Mechanical Engineering
Infrastructure,Data Services,1794,First Name Surname 1794,Oxford Circus,London,24/03/2012,24/03/2014,2:1,London Metropolitan University,Accounting and Finance
Testing,Consulting,1795,First Name Surname 1795,Moorgate,London,22/07/2013,22/07/2015,2:1,University of York,History
Development (Java),Data Services,1796,First Name Surname 1796,Oxford Circus,Manchester,18/11/2011,18/11/2013,1,Nottingham Trent University,Physics and Astronomy
Development (.Net),Business Intelligence,1797,First Name Surname 1797,Birmingham New Street,London,25/04/2013,25/04/2015,2:1,Nottingham Trent University,Chemistry
Data Analyst,Business Analysis,1798,First Name Surname 1798,Edinburgh,Manchester,11/11/2013,11/11/2015,2:2,London School of Economics and Politics,Aeronautical Engineering
Testing,Testing,1799,First Name Surname 1799,Leeds Centre,Manchester,26/12/2012,26/12/2014,2:1,University of Sheffield,Mathematics
Development (Java),Data Services,1800,First Name Surname 1800,Birmingham New Street,Manchester,15/12/2012,15/12/2014,3,University of Chester,Chemical Engineering
PMO,Testing,1801,First Name Surname 1801,Leeds Centre,London,18/11/2013,18/11/2015,2:1,University of Essex,Electrical and Electronic Engineering
Testing,Data Services,1802,First Name Surname 1802,Oxford Circus,London,09/09/2012,09/09/2014,3,University of Abertay,Economics
Testing,Cyber Security,1803,First Name Surname 1803,Oxford Circus,Manchester,11/07/2012,11/07/2014,2:1,Swansea University,Economics
Development (.Net),Data Services,1804,First Name Surname 1804,Birmingham New Street,London,06/07/2013,06/07/2015,2:1,University of Huddersfield,Mathematics
Application Support,PMO,1805,First Name Surname 1805,Leeds Centre,London,27/12/2012,27/12/2014,2:1,University of East Anglia,Aeronautical Engineering
Application Support,Business Intelligence,1806,First Name Surname 1806,Edinburgh,London,08/11/2011,08/11/2013,2:1,University of Portsmouth,Mechanical Engineering
Development (Java),Business Intelligence,1807,First Name Surname 1807,Oxford Circus,London,25/10/2011,25/10/2013,2:1,University of East Anglia,Chemistry
Testing,PMO,1808,First Name Surname 1808,Moorgate,London,30/10/2013,30/10/2015,2:1,Newcastle University ,Geography and Environmental Sciences
PMO,PMO,1809,First Name Surname 1809,Newcastle,London,25/09/2013,25/09/2015,2:2,University of Essex,Civil Engineering
Testing,Cyber Security,1810,First Name Surname 1810,Birmingham New Street,London,26/05/2012,26/05/2014,2:1,Newcastle University ,History
Business Analysis,Consulting,1811,First Name Surname 1811,Edinburgh,Manchester,10/09/2013,10/09/2015,2:2,Swansea University,Psychology
Development (Java),Infrastructure,1812,First Name Surname 1812,Birmingham New Street,Manchester,03/11/2013,03/11/2015,2:1,University of Portsmouth,Law
Testing,Cyber Security,1813,First Name Surname 1813,Oxford Circus,London,08/07/2012,08/07/2014,2:1,London Metropolitan University,Electrical and Electronic Engineering
Data Analyst,Cyber Security,1814,First Name Surname 1814,Edinburgh,Manchester,02/04/2013,02/04/2015,2:1,University of Chester,Mathematics
Development (Java),Testing,1815,First Name Surname 1815,Edinburgh,London,13/02/2013,13/02/2015,2:2,University of Huddersfield,Electrical and Electronic Engineering
Business Analysis,Business Analysis,1816,First Name Surname 1816,Leeds Centre,Manchester,24/05/2013,24/05/2015,3,University of Reading,Biological Sciences
Infrastructure,Business Analysis,1817,First Name Surname 1817,Leeds Centre,Manchester,12/11/2012,12/11/2014,3,London School of Economics and Politics,Aeronautical Engineering
Application Support,Business Intelligence,1818,First Name Surname 1818,Birmingham New Street,Manchester,02/12/2011,02/12/2013,1,Coventry University,Mechanical Engineering
Infrastructure,PMO,1819,First Name Surname 1819,Oxford Circus,Manchester,27/09/2013,27/09/2015,2:2,University of Leicester,Politics
Infrastructure,Support,1820,First Name Surname 1820,Birmingham New Street,London,19/11/2013,19/11/2015,2:1,University of Nottingham,Forensic Computing
Infrastructure,Business Analysis,1821,First Name Surname 1821,Birmingham New Street,Manchester,20/07/2012,20/07/2014,1,London Metropolitan University,History
